species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,36,294,7.08333,0,31,70,castaneum_chaos,NA
A,48,338,7.08333,0,31,70,castaneum_chaos,NA
A,70,294,7.08333,0,31,70,castaneum_chaos,NA
A,9,146,7.08333,0,31,70,castaneum_chaos,NA
A,16,245,7.08333,0,31,70,castaneum_chaos,NA
A,72,306,7.08333,0,31,70,castaneum_chaos,NA
A,17,316,7.08333,0,31,70,castaneum_chaos,NA
A,30,309,7.08333,0,31,70,castaneum_chaos,NA
A,40,304,7.08333,0,31,70,castaneum_chaos,NA
A,38,284,7.08333,0,31,70,castaneum_chaos,NA
A,86,317,7.08333,0,31,70,castaneum_chaos,NA
A,64,252,7.08333,0,31,70,castaneum_chaos,NA
A,34,306,7.08333,0,31,70,castaneum_chaos,NA
A,74,280,7.08333,0,31,70,castaneum_chaos,NA
A,28,296,7.08333,0,31,70,castaneum_chaos,NA
A,30,317,7.08333,0,31,70,castaneum_chaos,NA
A,66,282,7.08333,0,31,70,castaneum_chaos,NA
A,76,272,7.08333,0,31,70,castaneum_chaos,NA
A,15,294,7.08333,0,31,70,castaneum_chaos,NA
A,15,281,7.08333,0,31,70,castaneum_chaos,NA
A,86,289,7.08333,0,31,70,castaneum_chaos,NA
A,12,289,7.08333,0,31,70,castaneum_chaos,NA
A,4,50,7.08333,0,31,70,castaneum_chaos,NA
A,78,295,7.08333,0,31,70,castaneum_chaos,NA
A,70,355,7.08333,0,31,70,castaneum_chaos,NA
A,86,320,7.08333,0,31,70,castaneum_chaos,NA
A,64,247,7.08333,0,31,70,castaneum_chaos,NA
A,54,296,7.08333,0,31,70,castaneum_chaos,NA
A,10,289,7.08333,0,31,70,castaneum_chaos,NA
A,6,235,7.08333,0,31,70,castaneum_chaos,NA
A,7,242,7.08333,0,31,70,castaneum_chaos,NA
A,5,254,7.08333,0,31,70,castaneum_chaos,NA
A,80,312,7.08333,0,31,70,castaneum_chaos,NA
A,38,235,7.08333,0,31,70,castaneum_chaos,NA
A,8,313,7.08333,0,31,70,castaneum_chaos,NA
A,12,231,7.08333,0,31,70,castaneum_chaos,NA
A,60,197,7.08333,0,31,70,castaneum_chaos,NA
A,22,306,7.08333,0,31,70,castaneum_chaos,NA
A,24,441,7.08333,1,31,70,castaneum_chaos,NA
A,11,273,7.08333,0,31,70,castaneum_chaos,NA
A,82,320,7.08333,0,31,70,castaneum_chaos,NA
A,9,269,7.08333,0,31,70,castaneum_chaos,NA
A,78,233,7.08333,0,31,70,castaneum_chaos,NA
A,12,289,7.08333,0,31,70,castaneum_chaos,NA
A,26,310,7.08333,0,31,70,castaneum_chaos,NA
A,78,340,7.08333,0,31,70,castaneum_chaos,NA
A,38,299,7.08333,0,31,70,castaneum_chaos,NA
A,54,293,7.08333,0,31,70,castaneum_chaos,NA
A,84,333,7.08333,0,31,70,castaneum_chaos,NA
A,50,270,7.08333,0,31,70,castaneum_chaos,NA
A,54,318,7.08333,0,31,70,castaneum_chaos,NA
A,18,299,7.08333,0,31,70,castaneum_chaos,NA
A,48,295,7.08333,0,31,70,castaneum_chaos,NA
A,76,322,7.08333,0,31,70,castaneum_chaos,NA
A,62,301,7.08333,0,31,70,castaneum_chaos,NA
A,5,241,7.08333,0,31,70,castaneum_chaos,NA
A,40,301,7.08333,0,31,70,castaneum_chaos,NA
A,7,319,7.08333,0,31,70,castaneum_chaos,NA
A,84,309,7.08333,0,31,70,castaneum_chaos,NA
A,52,357,7.08333,0,31,70,castaneum_chaos,NA
A,80,319,7.08333,0,31,70,castaneum_chaos,NA
